"filename", "language", "JSON", "JavaScript", "XML", "Markdown", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\SKL\Desktop\Integradora\int-line\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\SKL\Desktop\Integradora\int-line\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\SKL\Desktop\Integradora\int-line\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\SKL\Desktop\Integradora\int-line\package-lock.json", "JSON", 10737, 0, 0, 0, 0, 0, 0, 0, 1, 10738
"c:\Users\SKL\Desktop\Integradora\int-line\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\AboutImg.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\Back.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\HomeI.svg", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\LoginImg.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\Logo-I.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\create.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\home.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\homepm.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\more-horizontal.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\profile.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SKL\Desktop\Integradora\int-line\public\img\search.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\SKL\Desktop\Integradora\int-line\src\App.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\SKL\Desktop\Integradora\int-line\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\SKL\Desktop\Integradora\int-line\src\api\login.api.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 15, 40
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\buttons\ButtonB.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\buttons\ButtonFo.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\buttons\ButtonLD.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 7, 50
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\buttons\ButtonMS.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\buttons\ButtonNS.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\inputs\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\inputs\Input1.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\AsideI.jsx", "JavaScript JSX", 0, 0, 0, 0, 213, 0, 0, 2, 15, 230
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\AsideO.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\AsideOD.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 11, 91
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\HomeD.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
